日期,1号线,2号线,3号线,4号线,5号线,6号线,7号线,8号线,9号线,10号线,17号线,18号线
3月1日,70.73,59.19,59.86,53.06,47.44,43.15,58.12,26.89,23.62,7.46,4.78,11.79
3月2日,71.89,59.57,60.07,53.39,48.24,43.07,58.58,27.14,23.93,7.46,4.81,12.01
3月3日,73.13,60.02,60.87,53.9,48.71,43.63,59.37,27.36,24.31,7.61,4.88,12.38
3月4日,77.41,66.74,66.78,58.46,52.24,47.92,65.85,29.91,26.39,8.82,5.35,13.57
3月5日,37.91,46.22,50.55,41.2,33.65,34.24,44.23,19.75,15.3,7.31,3.65,7.23
3月6日,32.68,43.35,47.02,38.06,30.86,31.83,42.23,17.68,14.06,7.59,3.53,7.03
3月7日,81.17,66.31,66.63,59.27,52.96,47.44,65.73,29.49,27.03,8.59,5.62,14.06
3月8日,82.61,69.43,70.96,61.34,54.65,49.4,67.15,30.44,27.34,8.9,5.66,14.29
3月9日,81.88,65.71,65.98,58.72,53.22,47.34,65.72,29.53,26.94,8.51,5.46,14.29
3月10日,82.76,67.09,67.24,59.53,53.7,48.28,66.93,29.81,27.2,8.78,5.45,14.6
3月11日,89.46,78.44,76.04,67.35,59.32,55.5,78.71,33.59,30.66,10.92,6.32,16.68
3月12日,47.9,61.47,62.28,52.1,40.57,43.78,57.15,23.97,19.01,9.38,4.68,9.77
3月13日,40.29,56,55.27,45.74,36.59,38.88,53.54,20.97,16.83,8.96,4.45,9.12
3月14日,87.06,72.11,71.14,62.99,56.57,51.06,71.9,31.31,28.93,9.37,6.02,15.67
3月15日,86.85,71.18,70.43,62.25,56.42,50.46,71.02,31.09,28.69,9.15,5.95,15.45
3月16日,86.85,70.76,70.01,62.23,56.23,50.48,70.34,31.08,28.56,8.92,5.88,15.4
3月17日,86.31,70.6,69.67,62.07,56.11,50.63,70.17,31.23,28.58,9.03,5.84,15.36
3月18日,90.12,77.2,75.26,66.61,59.4,55.02,77.28,33.47,30.78,10.31,6.35,16.82
3月19日,46.66,59.87,60.66,50.74,39.51,42.65,55.65,23.35,18.51,9.14,4.56,9.52
3月20日,36.09,46.75,46.86,39.79,33.09,33.3,45.81,18.6,15.39,7.84,3.93,8.25
3月21日,88.73,71.28,71.09,63.69,57.21,51.4,71.43,31.76,29.5,9.2,6.1,15.97
3月22日,87.97,70.81,70.75,63.29,57.26,51.16,71.29,31.76,29.32,8.99,6.07,15.69
3月23日,87.43,70.49,70.76,63.36,57.27,50.79,71.08,31.61,29.14,8.97,5.99,15.57
3月24日,86.62,69.68,69.65,62.5,56.71,50.56,70.45,31.62,28.88,8.9,5.97,15.51
3月25日,90.37,78.13,76.4,67.84,60.22,55.34,78.41,34.64,31.07,10.31,6.68,16.7
3月26日,45.54,55.4,55.21,47.66,38.6,39.71,51.96,22.87,17.93,8,4.8,9.05
3月27日,42.44,55.5,56.61,47.77,38.37,39.53,52.8,22.44,17.57,8.39,5.19,9.68
3月28日,88.19,71.18,71.09,64.05,57.87,52,71.99,32.31,29.7,9.14,6.45,16.23
3月29日,87.43,73.12,68.98,63.04,56.93,51.24,70.74,31.97,29.22,8.85,6.33,15.94
3月30日,88.26,70.31,69.06,63.08,56.68,51,70.9,32,29.25,8.73,6.27,16.02
3月31日,86.61,70.45,68.63,62.73,56.43,51.12,70.73,31.82,28.94,8.77,6.18,15.89
